,meta.native-id,platform,tile,start_time,end_time,reach,red,green,nir,ndti,ndvi,qc_fail_pixels,total_pixels
0,HLS.S30.T48PXA.2021275T031539.v2.0,Sentinel-2B,PXA,2021-10-02T03:34:13.763Z,2021-10-02T03:34:13.763Z,0,,,,,,5099.0,5099.0
1,HLS.S30.T48PWA.2021275T031539.v2.0,Sentinel-2B,PWA,2021-10-02T03:34:16.878Z,2021-10-02T03:34:16.878Z,0,,,,,,5099.0,5099.0
2,HLS.S30.T48PXV.2021275T031539.v2.0,Sentinel-2B,PXV,2021-10-02T03:34:28.373Z,2021-10-02T03:34:28.373Z,0,,,,,,2292.0,2292.0
3,HLS.S30.T48PWV.2021275T031539.v2.0,Sentinel-2B,PWV,2021-10-02T03:34:31.613Z,2021-10-02T03:34:31.613Z,0,,,,,,2292.0,2292.0
4,HLS.S30.T48PXA.2021280T031621.v2.0,Sentinel-2A,PXA,2021-10-07T03:34:19.139Z,2021-10-07T03:34:19.139Z,0,7059.0,7200.0,6947.0,-0.009581089951097965,-0.007923477329313755,0.0,5099.0
5,HLS.S30.T48PWA.2021280T031621.v2.0,Sentinel-2A,PWA,2021-10-07T03:34:22.258Z,2021-10-07T03:34:22.258Z,0,7053.0,7190.0,6937.0,-0.00936158187687397,-0.00819083210080862,0.0,5099.0
6,HLS.S30.T48PXA.2021285T031649.v2.0,Sentinel-2B,PXA,2021-10-12T03:34:15.133Z,2021-10-12T03:34:15.133Z,0,,,,,,5099.0,5099.0
7,HLS.S30.T48PWA.2021285T031649.v2.0,Sentinel-2B,PWA,2021-10-12T03:34:18.252Z,2021-10-12T03:34:18.252Z,0,,,,,,5099.0,5099.0
8,HLS.S30.T48PXV.2021285T031649.v2.0,Sentinel-2B,PXV,2021-10-12T03:34:29.750Z,2021-10-12T03:34:29.750Z,0,,,,,,2292.0,2292.0
9,HLS.S30.T48PWV.2021285T031649.v2.0,Sentinel-2B,PWV,2021-10-12T03:34:32.989Z,2021-10-12T03:34:32.989Z,0,,,,,,2292.0,2292.0
10,HLS.S30.T48PWA.2021290T031731.v2.0,Sentinel-2A,PWA,2021-10-17T03:34:22.617Z,2021-10-17T03:34:22.617Z,0,9137.0,9264.0,9337.0,-0.006608284544199705,0.010763156227767467,0.0,5099.0
11,HLS.S30.T48PWV.2021290T031731.v2.0,Sentinel-2A,PWV,2021-10-17T03:34:37.350Z,2021-10-17T03:34:37.350Z,0,9130.0,9247.0,9331.0,-0.006528480444103479,0.0108217503875494,0.0,2292.0
12,HLS.S30.T48PXA.2021295T031759.v2.0,Sentinel-2B,PXA,2021-10-22T03:34:15.634Z,2021-10-22T03:34:15.634Z,0,1317.0,1015.0,1186.0,0.12573839724063873,-0.05180533602833748,4174.0,5099.0
13,HLS.S30.T48PWA.2021295T031759.v2.0,Sentinel-2B,PWA,2021-10-22T03:34:18.753Z,2021-10-22T03:34:18.753Z,0,1310.0,985.0,1208.0,0.12494774162769318,-0.046171169728040695,1971.0,5099.0
14,HLS.S30.T48PXV.2021295T031759.v2.0,Sentinel-2B,PXV,2021-10-22T03:34:30.252Z,2021-10-22T03:34:30.252Z,0,,,,,,2292.0,2292.0
15,HLS.S30.T48PWV.2021295T031759.v2.0,Sentinel-2B,PWV,2021-10-22T03:34:33.492Z,2021-10-22T03:34:33.492Z,0,1078.0,851.0,941.0,0.11736752092838287,-0.06727932393550873,888.0,2292.0
16,HLS.L30.T48PWA.2021296T031328.v2.0,LANDSAT-8,PWA,2021-10-23T03:13:28.975Z,2021-10-23T03:13:52.879Z,0,,,,,,5099.0,5099.0
17,HLS.L30.T48PXA.2021296T031328.v2.0,LANDSAT-8,PXA,2021-10-23T03:13:28.975Z,2021-10-23T03:13:52.879Z,0,,,,,,5099.0,5099.0
18,HLS.L30.T48PWV.2021296T031352.v2.0,LANDSAT-8,PWV,2021-10-23T03:13:52.879Z,2021-10-23T03:13:52.879Z,0,,,,,,2292.0,2292.0
