,meta.native-id,platform,tile,start_time,end_time,reach,red,green,nir,ndti,ndvi,qc_fail_pixels,total_pixels
0,HLS.L30.T48PXA.2023325T031928.v2.0,LANDSAT-8,PXA,2023-11-21T03:19:28.281Z,2023-11-21T03:19:52.180Z,0,911.0,931.0,334.0,-0.00959488283842802,-0.46001651883125305,0.0,2292.0
1,HLS.L30.T48PWA.2023325T031928.v2.0,LANDSAT-8,PWA,2023-11-21T03:19:28.281Z,2023-11-21T03:19:52.180Z,0,911.0,931.0,334.0,-0.00959488283842802,-0.460007905960083,0.0,2292.0
2,HLS.L30.T48PXV.2023325T031952.v2.0,LANDSAT-8,PXV,2023-11-21T03:19:52.180Z,2023-11-21T03:19:52.180Z,0,917.0,931.0,340.0,-0.007008086424320936,-0.4565916359424591,0.0,2292.0
3,HLS.L30.T48PWV.2023325T031952.v2.0,LANDSAT-8,PWV,2023-11-21T03:19:52.180Z,2023-11-21T03:19:52.180Z,0,917.0,931.0,340.0,-0.00699300691485405,-0.4565916359424591,0.0,2292.0
4,HLS.S30.T48PXA.2023325T032029.v2.0,Sentinel-2B,PXA,2023-11-21T03:34:10.537Z,2023-11-21T03:34:10.537Z,0,815.0,874.0,643.0,-0.03305066376924515,-0.11943463236093521,0.0,2292.0
5,HLS.S30.T48PWA.2023325T032029.v2.0,Sentinel-2B,PWA,2023-11-21T03:34:13.645Z,2023-11-21T03:34:13.645Z,0,823.0,878.0,662.0,-0.030446361750364304,-0.11022576689720154,0.0,2292.0
6,HLS.S30.T48PXV.2023325T032029.v2.0,Sentinel-2B,PXV,2023-11-21T03:34:25.151Z,2023-11-21T03:34:25.151Z,0,808.0,869.0,630.0,-0.034545205533504486,-0.1257774829864502,0.0,2292.0
7,HLS.S30.T48PWV.2023325T032029.v2.0,Sentinel-2B,PWV,2023-11-21T03:34:28.379Z,2023-11-21T03:34:28.379Z,0,815.0,873.0,641.0,-0.03241443261504173,-0.12137885391712189,0.0,2292.0
8,HLS.L30.T48PWA.2023326T031319.v2.0,LANDSAT-9,PWA,2023-11-22T03:13:19.265Z,2023-11-22T03:13:43.173Z,0,779.0,822.0,193.0,-0.02599009871482849,-0.6048387289047241,437.0,2292.0
9,HLS.L30.T48PXA.2023326T031319.v2.0,LANDSAT-9,PXA,2023-11-22T03:13:19.265Z,2023-11-22T03:13:43.173Z,0,779.0,822.0,193.0,-0.02599009871482849,-0.6048387289047241,437.0,2292.0
10,HLS.L30.T48PWV.2023326T031343.v2.0,LANDSAT-9,PWV,2023-11-22T03:13:43.173Z,2023-11-22T03:13:43.173Z,0,782.0,825.0,193.0,-0.025893958285450935,-0.6052899360656738,437.0,2292.0
11,HLS.L30.T48PXV.2023326T031343.v2.0,LANDSAT-9,PXV,2023-11-22T03:13:43.173Z,2023-11-22T03:13:43.173Z,0,782.0,825.0,193.0,-0.0258620698004961,-0.6052899360656738,437.0,2292.0
12,HLS.S30.T48PXA.2023330T032051.v2.0,Sentinel-2A,PXA,2023-11-26T03:34:08.246Z,2023-11-26T03:34:08.246Z,0,,,,,,2292.0,2292.0
13,HLS.S30.T48PWA.2023330T032051.v2.0,Sentinel-2A,PWA,2023-11-26T03:34:11.358Z,2023-11-26T03:34:11.358Z,0,,,,,,2292.0,2292.0
14,HLS.S30.T48PWV.2023330T032051.v2.0,Sentinel-2A,PWV,2023-11-26T03:34:26.093Z,2023-11-26T03:34:26.093Z,0,,,,,,2292.0,2292.0
15,HLS.L30.T48PXA.2023333T031932.v2.0,LANDSAT-9,PXA,2023-11-29T03:19:32.434Z,2023-11-29T03:19:56.334Z,0,993.0,1022.0,191.0,-0.01365018542855978,-0.6777493357658386,0.0,2292.0
16,HLS.L30.T48PWA.2023333T031932.v2.0,LANDSAT-9,PWA,2023-11-29T03:19:32.434Z,2023-11-29T03:19:56.334Z,0,993.0,1022.0,191.0,-0.01365018542855978,-0.6777493357658386,0.0,2292.0
17,HLS.L30.T48PXV.2023333T031956.v2.0,LANDSAT-9,PXV,2023-11-29T03:19:56.334Z,2023-11-29T03:19:56.334Z,0,996.0,1020.0,194.0,-0.01158109400421381,-0.6742809414863586,0.0,2292.0
18,HLS.L30.T48PWV.2023333T031956.v2.0,LANDSAT-9,PWV,2023-11-29T03:19:56.334Z,2023-11-29T03:19:56.334Z,0,996.0,1020.0,194.0,-0.01158109400421381,-0.6742809414863586,0.0,2292.0
19,HLS.L30.T48PWA.2023334T031315.v2.0,LANDSAT-8,PWA,2023-11-30T03:13:15.691Z,2023-11-30T03:13:39.591Z,0,822.0,916.0,147.0,-0.05390606075525284,-0.6953367590904236,0.0,2292.0
20,HLS.L30.T48PXA.2023334T031315.v2.0,LANDSAT-8,PXA,2023-11-30T03:13:15.691Z,2023-11-30T03:13:39.591Z,0,822.0,916.0,147.0,-0.05393783748149872,-0.6953367590904236,0.0,2292.0
21,HLS.L30.T48PWV.2023334T031339.v2.0,LANDSAT-8,PWV,2023-11-30T03:13:39.591Z,2023-11-30T03:13:39.591Z,0,825.0,919.0,148.0,-0.05402299016714096,-0.6954732537269592,0.0,2292.0
22,HLS.L30.T48PXV.2023334T031339.v2.0,LANDSAT-8,PXV,2023-11-30T03:13:39.591Z,2023-11-30T03:13:39.591Z,0,825.0,919.0,148.0,-0.0540236234664917,-0.6954732537269592,0.0,2292.0
23,HLS.L30.T48PXA.2023325T031928.v2.0,LANDSAT-8,PXA,2023-11-21T03:19:28.281Z,2023-11-21T03:19:52.180Z,1,1111.0,1069.0,322.0,0.022364217787981033,-0.5583333373069763,0.0,9599.0
24,HLS.L30.T48PWA.2023325T031928.v2.0,LANDSAT-8,PWA,2023-11-21T03:19:28.281Z,2023-11-21T03:19:52.180Z,1,1111.0,1069.0,322.0,0.022346368059515953,-0.5582268834114075,0.0,9599.0
25,HLS.L30.T48PXV.2023325T031952.v2.0,LANDSAT-8,PXV,2023-11-21T03:19:52.180Z,2023-11-21T03:19:52.180Z,1,1114.0,1062.0,322.0,0.025509100407361984,-0.5582268834114075,0.0,9936.0
26,HLS.L30.T48PWV.2023325T031952.v2.0,LANDSAT-8,PWV,2023-11-21T03:19:52.180Z,2023-11-21T03:19:52.180Z,1,1114.0,1062.0,322.0,0.025509100407361984,-0.5582268834114075,0.0,9936.0
27,HLS.S30.T48PXA.2023325T032029.v2.0,Sentinel-2B,PXA,2023-11-21T03:34:10.537Z,2023-11-21T03:34:10.537Z,1,1010.0,992.0,802.0,0.004761904943734407,-0.11681508272886276,0.0,9599.0
