SITE,TRANSECT_POINT,LOCATION,ENVIRON,UNDERWATER_d,DIST_FPL_m,latitude,longitude,N
AnRe.1,1,Central,Pelagic,365,-1960,12.65388,104.16687,4
AnRe.2,2,Central,Edge,301,0,12.65222,104.14899,4
AnRe.3,3,Central,Floodplain,251,1100,12.64567,104.1413,2
AnRe.4,4,Central,Floodplain,166,2010,12.64003,104.13542,2
AnRe.5,5,Central,Floodplain,98,3290,12.63007,104.12852,2
AnRe.6,6,Central,Floodplain,54,4250,12.6254,104.12143,3
KaPr.1,1,Southwest,Pelagic,327,-390,12.51286,104.48435,4
KaPr.2,2,Southwest,Edge,301,0,12.51012,104.48435,4
KaPr.3,3,Southwest,Floodplain,244,1310,12.50553,104.47363,2
KaPr.4,4,Southwest,Floodplain,170,2030,12.49585,104.47293,2
KaPr.5,5,Southwest,Floodplain,121,2850,12.48966,104.46839,2
KaPr.6,6,Southwest,Floodplain,150,3610,12.48377,104.46389,3
PrKo.1,1,Northwest,Pelagic,349,-2780,13.0735,103.71883,5
PrKo.2,2,Northwest,Edge,301,0,13.06167,103.69593,4
PrKo.3,3,Northwest,Floodplain,155,1380,13.06082,103.68385,2
PrKo.4,4,Northwest,Floodplain,128,1570,13.05496,103.68333,2
PrKo.5,5,Northwest,Floodplain,81,3750,13.03392,103.65775,2
PrKo.6,6,Northwest,Floodplain,86,5150,13.04305,103.66675,2
